PLOT_ID	M7	M7	M7	M6	M6	M6	M6	M6	M6	M6	M6	M6	J1	J1	J1	J1	J1	J1	J1	J1	J1	J2	J2	J2	J2	J2	J2	J2	J2	J2	J3	J3	J3	J3	J3	J3	J3	J3	J3	J4	J4	J4	J4	J4	J4	J5	J5	J5	J6	J6	J6	J5	J5	J5	J7	J7	J7	J7	J7	J7	J8	J8	J8	J7	J7	J7	J8	J8	J8	J8	J8	J8	M2	M2	M2	M2	M2	M2	M2	M2	M2	M3	M3	M3	M3	M3	M3	M3	M3	M3	M1	M1	M1	M1	M1	M1	M1	M1	M1	M4	M4	M4	M4	M4	M4	M5	M5	M5	M5	M5	M5	M7	M7	M7	M8	M8	M8	M8	M8	M8	M8	M8	M8	M7	M7	M7	M5	M5	M5	M4	M4	M4	J4	J4	J4	J5	J5	J5	J6	J6	J6	J6	J6	J6
QUADRAT_Direction	C	C	C	A	A	A	B	B	B	C	C	C	C	C	C	B	B	B	A	A	A	C	C	C	B	B	B	A	A	A	A	A	A	B	B	B	C	C	C	B	B	B	A	A	A	B	B	B	B	B	B	C	C	C	A	A	A	B	B	B	B	B	B	C	C	C	A	A	A	C	C	C	A	A	A	B	B	B	C	C	C	A	A	A	B	B	B	C	C	C	A	A	A	B	B	B	C	C	C	B	B	B	C	C	C	A	A	A	C	C	C	B	B	B	B	B	B	C	C	C	A	A	A	A	A	A	B	B	B	A	A	A	C	C	C	A	A	A	A	A	A	C	C	C
QUAD_ID	M7C	M7C	M7C	M6A	M6A	M6A	M6B	M6B	M6B	M6C	M6C	M6C	J1C	J1C	J1C	J1B	J1B	J1B	J1A	J1A	J1A	J2C	J2C	J2C	J2B	J2B	J2B	J2A	J2A	J2A	J3A	J3A	J3A	J3B	J3B	J3B	J3C	J3C	J3C	J4B	J4B	J4B	J4A	J4A	J4A	J5B	J5B	J5B	J6B	J6B	J6B	J5C	J5C	J5C	J7A	J7A	J7A	J7B	J7B	J7B	J8B	J8B	J8B	J7C	J7C	J7C	J8A	J8A	J8A	J8C	J8C	J8C	M2A	M2A	M2A	M2B	M2B	M2B	M2C	M2C	M2C	M3A	M3A	M3A	M3B	M3B	M3B	M3C	M3C	M3C	M1A	M1A	M1A	M1B	M1B	M1B	M1C	M1C	M1C	M4B	M4B	M4B	M4C	M4C	M4C	M5A	M5A	M5A	M5C	M5C	M5C	M7B	M7B	M7B	M8B	M8B	M8B	M8C	M8C	M8C	M8A	M8A	M8A	M7A	M7A	M7A	M5B	M5B	M5B	M4A	M4A	M4A	J4C	J4C	J4C	J5A	J5A	J5A	J6A	J6A	J6A	J6C	J6C	J6C
"Aira sp."	A	W	NA	A	1	NA	A	5	NA	A	2	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	W	NA	A	1	NA	NA	NA	NA	A	5	NA	A	W	NA	A	W	NA	A	W	NA	A	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	6	NA	A	X	NA	A	X	NA	A	W	NA	A	X	NA	A	W	NA	A	W	NA	A	W	NA	A	W	NA	A	7	NA	A	X	NA	A	W	NA	A	W	NA	A	W	NA	A	W	NA	A	W	NA	A	2	NA	A	Y	NA	A	X	NA	A	X	NA	A	Y	NA	A	1	NA	A	W	NA	A	W	NA	NA	NA	NA
"Anthosachne scaber"	A	5	NA	A	8	NA	A	8	NA	A	2	NA	A	3	NA	A	1	NA	A	1	NA	NA	NA	NA	A	2	NA	A	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	6	NA	A	11	NA	A	7	NA	A	W	NA	A	2	NA	A	4	NA	NA	NA	NA	A	5	NA	A	W	NA	A	7	NA	A	10	NA	A	2	NA	A	10	NA	A	4	NA	A	7	NA	A	W	NA	A	6	NA	A	2	NA	A	1	NA	A	1	NA	A	8	NA	A	4	NA	A	6	NA	A	2	NA	A	W	NA	A	3	NA	A	9	NA	A	1	NA	A	4	NA	A	3	NA	A	4	NA	A	2	NA	NA	NA	NA	NA	NA	NA	A	6	NA
"Asperula conferta"	A	4	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	A	2	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	A	8	NA	NA	NA	NA	A	5	NA	A	1	NA	NA	NA	NA	NA	NA	NA	A	46	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	A	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Austrostipa bigeniculata"	A	W	NA	NA	NA	NA	A	4	NA	A	W	NA	A	8	NA	A	1	NA	A	3	NA	A	2	NA	NA	NA	NA	A	2	NA	A	1	NA	A	1	NA	NA	NA	NA	A	8	NA	A	1	NA	A	4	NA	A	3	NA	A	2	NA	A	9	NA	A	6	NA	NA	NA	NA	A	C	NA	A	1	NA	A	4	NA	A	1	NA	A	W	NA	A	6	NA	A	2	NA	A	1	NA	NA	NA	NA	A	2	NA	A	15	NA	A	10	NA	A	8	NA	A	3	NA	NA	NA	NA	A	W	NA	A	13	NA	NA	NA	NA	A	3	NA	NA	NA	NA	A	18	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Austrostipa scabra"	A	1	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Avena sp."	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	1	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	W	NA	NA	NA	NA	NA	NA	NA	A	6	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	4	NA	NA	NA	NA	NA	NA	NA
"Bothriochloa macra"	C	W	NA	A	W	NA	B	W	NA	A	1	NA	A	W	NA	B	W	NA	A	W	NA	A	W	NA	B	W	NA	A	W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	A	5	NA	NA	NA	NA	A	W	NA	A	W	NA	A	W	NA	B	9	NA	A	W	NA	A	W	NA	A	W	NA	A	3	NA	A	7	NA	A	9	NA	A	W	NA	A	4	NA	C	W	NA	A	1	NA	A	2	NA	A	3	NA	B	W	NA	B	W	NA	A	1	NA	A	W	NA	A	2	NA	B	W	NA	A	W	NA	A	7	NA	NA	NA	NA	A	18	NA	B	W	NA	B	W	NA	A	4	NA	A	5	NA	A	10	NA	A	9	NA
"Briza minor"	A	1	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	A	2	NA	A	1	NA	A	5	NA	A	W	NA	A	2	NA	A	1	NA	A	2	NA	NA	NA	NA	NA	NA	NA	A	2	NA	A	5	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
